tableId,rowIndex,rowCounter,status_txt
02db9f91-572a-44af-9858-4add101353c1,1,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,1,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,1,3,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,1,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,1,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,1,6,"July 13, 2016  - KP 0+300- Marker posts and sign down."
02db9f91-572a-44af-9858-4add101353c1,1,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,1,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter."
02db9f91-572a-44af-9858-4add101353c1,1,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved."
02db9f91-572a-44af-9858-4add101353c1,1,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,1,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040."
02db9f91-572a-44af-9858-4add101353c1,1,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,1,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,2,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,2,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,2,3,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,2,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,2,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,2,6,"July 13, 2016  - KP 0+300- Marker posts and sign down."
02db9f91-572a-44af-9858-4add101353c1,2,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,2,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter."
02db9f91-572a-44af-9858-4add101353c1,2,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved."
02db9f91-572a-44af-9858-4add101353c1,2,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,2,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040."
02db9f91-572a-44af-9858-4add101353c1,2,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved."
02db9f91-572a-44af-9858-4add101353c1,2,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,3,1,.
02db9f91-572a-44af-9858-4add101353c1,4,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015."
02db9f91-572a-44af-9858-4add101353c1,4,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved."
02db9f91-572a-44af-9858-4add101353c1,5,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,5,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,5,3,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,5,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,5,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,5,6,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,5,7,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter."
02db9f91-572a-44af-9858-4add101353c1,5,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW."
02db9f91-572a-44af-9858-4add101353c1,5,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle."
02db9f91-572a-44af-9858-4add101353c1,6,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures."
02db9f91-572a-44af-9858-4add101353c1,6,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed."
02db9f91-572a-44af-9858-4add101353c1,6,3,"July 13, 2016  - Cross drains are vegetated and functioning."
02db9f91-572a-44af-9858-4add101353c1,6,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments."
02db9f91-572a-44af-9858-4add101353c1,6,5,"July 13, 2016  - No erosion or subsidence issues."
02db9f91-572a-44af-9858-4add101353c1,6,6,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle."
