tableId,rowIndex,status_bin,status_txt,status,status_code
0c200808-9563-467f-b74f-2d4b73c53fc4,3,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,4,U,Monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,11,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,12,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,13,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,14,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,18,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,19,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,20,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,21,U,Monitor in 2019. Repair subsidence when feasible.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,25,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,27,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,29,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,30,U,Control weeds between KP 15.397 to KP 15.469 and monitor in 2019.  Monitor for weeds in 2019 between KP 15.070 and KP 15.397 where hay was cut.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,31,U,Assess vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,32,U,Control weeds and monitor vegetation establishment in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,33,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,34,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,39,U,-Monitor in 2019 if warranted.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,44,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,46,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,47,R,None.,Resolved,1
0c200808-9563-467f-b74f-2d4b73c53fc4,48,U,Control weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,51,U,Hand pull weeds and monitor in 2019.,Unresolved,0
0c200808-9563-467f-b74f-2d4b73c53fc4,52,R,None.,Resolved,1
