Id,tableId,rowIndex,status_bin,status_txt,predicted_prob,predicted_status_code,predicted_status_label,unresolved_probability,resolved_probability
10,0114daa6-c048-4081-b4cf-7a9d7461fa44,10,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,[0.9874887  0.01251134],0,Unresolved,0.9874887,0.012511335
11,0114daa6-c048-4081-b4cf-7a9d7461fa44,11,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,[0.9868276 0.0131724],0,Unresolved,0.9868276,0.013172396
12,0114daa6-c048-4081-b4cf-7a9d7461fa44,12,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,[0.98954576 0.01045422],0,Unresolved,0.98954576,0.010454215
20,0114daa6-c048-4081-b4cf-7a9d7461fa44,20,<s>Resolved </s>–repaired in August 2017,Monitor in 2018 and repair erosion,[0.98732835 0.01267171],0,Unresolved,0.98732835,0.012671715
21,0114daa6-c048-4081-b4cf-7a9d7461fa44,21,No issue,<s>None </s>–<s> pipeline was </s>directionally drilled and had no impact on the vegetation.,[0.00512481 0.99487513],1,Resolved,0.0051248134,0.99487513
38,0114daa6-c048-4081-b4cf-7a9d7461fa44,38,Resolved –  repaired in August 2017,Repair erosion and monitor in 2018. Normal farming practices will control weeds.,[0.9926846  0.00731542],0,Unresolved,0.9926846,0.0073154233
39,0114daa6-c048-4081-b4cf-7a9d7461fa44,39,Resolved –  repaired in August 2017,Repair and monitor in 2018.,[0.99166155 0.00833839],0,Unresolved,0.99166155,0.008338393
41,0114daa6-c048-4081-b4cf-7a9d7461fa44,41,Resolved –  repaired in August 2017,Monitor in 2018.,[0.98885614 0.01114391],0,Unresolved,0.98885614,0.011143912
43,02db9f91-572a-44af-9858-4add101353c1,1,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - KP 0+300- Marker posts and sign down. - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - Herbicide application conducted on valve pad and 2m perimeter.  - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Installed TC sign and marker posts at KP 0+040. - Re-installed marker posts at KP 0+300, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.08779304 0.912207  ],1,Resolved,0.08779304,0.912207
44,02db9f91-572a-44af-9858-4add101353c1,2,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - KP 0+300- Marker posts and sign down. - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - Herbicide application conducted on valve pad and 2m perimeter.  - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved. Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Installed TC sign and marker posts at KP 0+040. - Re-installed marker posts at KP 0+300, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.085591 0.914409],1,Resolved,0.085590996,0.914409
46,02db9f91-572a-44af-9858-4add101353c1,4,,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015. - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",[0.00949782 0.99050224],1,Resolved,0.00949782,0.99050224
47,02db9f91-572a-44af-9858-4add101353c1,5,,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures. July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - Wetlands stable and consistent with previous assessments. - No erosion or subsidence issues. - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - Herbicide application conducted on valve pad and 2m perimeter.  Sept 17, 2016 - 65-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.",[0.1161941 0.8838059],1,Resolved,0.1161941,0.8838059
